tweets,likes,time,source,retweets,tweet_length,zitat
"Einfach nur 🫶

Danke für euren unfassbaren Support vor Ort. Unglaublich, was jeden Tag im Ort &amp; am Trainingsplatz los war. Überall schwarz-weiß-grün 💚

#BMGamTegernsee #FohlenFamilie https://t.co/c9BxTX8OtV",253,2022-07-10 16:44:29+00:00,Twitter for iPhone,4,210,0
"🍿 Die Highlights vom Spiel 🆚 1860 München sind da.

Welcher Treffer hat euch am besten gefallen? 👇

➡️ https://t.co/j6iVUta2f9 https://t.co/43h5nDDe7u",94,2022-07-10 16:23:29+00:00,Twitter for iPhone,4,150,0
"Zweiter Test, zweiter Sieg. 🤙

#DieFohlen #BMGamTegernsee https://t.co/QrLC7HFZpY",275,2022-07-10 15:13:03+00:00,Twitter for iPhone,13,81,0
Feierabend! #DieFohlen gewinnen zum Abschluss des Trainingslagers am Tegernsee gegen 1860 München. #BMGM60 https://t.co/FJ2pyY9hbA,393,2022-07-10 14:16:58+00:00,Twitter Web App,10,130,0
"70‘: Doppelpack Flaco! 6:0.

#BMGM60 #BMGamTegernsee https://t.co/8N5hHqR6JW",129,2022-07-10 13:40:15+00:00,Twitter for iPhone,4,76,1
"66‘: Hannes erhöht auf 5:0!

#BMGM60 #BMGamTegernsee https://t.co/zc7I5vhG7e",155,2022-07-10 13:32:09+00:00,Twitter for iPhone,4,76,1
Beweisvideo 😉 #BMGM60 https://t.co/IT1f8cg0U5,123,2022-07-10 13:19:09+00:00,Twitter for iPhone,7,45,0
"🔁🔁🔁🔁🔁🔁🔁🔁🔁🔁

Im zweiten Durchgang spielen Nicolas, Kramer, Herrmann, Wolf, Plea, Lainer, Fraulo, Jantschke, Müsel und Embolo. Einzig Ko Itakura steht weiter auf dem Feld. #BMGM60",136,2022-07-10 13:16:17+00:00,Twitter for iPhone,2,177,0
"47‘: Flaco stellt mit einem tollen Freistoß auf 4:0 für #DieFohlen. 🤩

#BMGM60 #BMGamTegernsee",157,2022-07-10 13:12:46+00:00,Twitter for iPhone,4,94,1
"⏸ #DieFohlen mit 3️⃣ Treffern. 

#BMGM60 #BMGamTegernsee https://t.co/w0z2HN70uo",249,2022-07-10 13:01:32+00:00,Twitter for iPhone,6,80,0
"Yvandro 😍

#BMGM60 https://t.co/MA5pfJD42c",139,2022-07-10 12:56:09+00:00,Twitter for iPhone,5,42,0
"Die Führung durch Hoffi 🙌

#BMGM60 https://t.co/nSdZ9Whc76",121,2022-07-10 12:51:40+00:00,Twitter for iPhone,4,58,0
"40‘: Mittlerweile führen #dieFohlen 3:0! Hofmann, Borges Sanches &amp; @stindl28 haben getroffen. 

#BMGM60 3:0 https://t.co/hWMBOfDmfD",322,2022-07-10 12:48:02+00:00,Twitter for iPhone,14,135,1
"12': Borges Sanches bringt den ⚽ im Netz unter, aber weiter 0:0. Abseits.",192,2022-07-10 12:17:58+00:00,Twitter Web App,3,73,1
"Aufwärmen 🔜 Gleich geht‘s los! ⚽️ 

#BMGamTegernsee #BMGM60 https://t.co/ftJlfJPgTQ",182,2022-07-10 11:57:17+00:00,Twitter for iPhone,10,83,0
"Mit dieser #FohlenElf geht‘s ins Testspiel gegen die 🦁. #BMGamTegernsee #BMGM60

📺 https://t.co/egHHaOJYAF https://t.co/GLjHTo1tqU",300,2022-07-10 11:36:04+00:00,Twitter for iPhone,29,130,0
"Zum Abschluss des Trainingslagers rollt der Ball!

🏟 Stadion am Birkenmoos
⏰ 14:00 Uhr
🆚 @TSV1860 
📺 Live bei #FohlenTV ➡ https://t.co/WrV0xoBMwH
📱 Liveticker: #FohlenApp
💬 #BMGM60 https://t.co/CbnenPG6VP",129,2022-07-10 11:00:00+00:00,Twitter Web App,4,204,1
"Luca Netz konnte heute Morgen nach einem negativen PCR-Test seine Quarantäne verlassen und bereits zurück in den BORUSSIA-PARK reisen.

Gute Heimreise, Luca! 💚 https://t.co/hRwWdtMcYp",414,2022-07-10 10:30:25+00:00,Twitter Web App,4,183,0
"Letzter Tag am Tegernsee. Um 14:00 Uhr steht das Testspiel gegen den @TSV1860 an, danach reisen #dieFohlen zurück in die Heimat.

#BMGamTegernsee https://t.co/tHePIkc1te",118,2022-07-10 10:22:44+00:00,Twitter Web App,2,169,0
"📷 Kein Tag ohne Trainingsfotos 😃

#BMGamTegernsee #DieFohlen https://t.co/KyyBkGiSzh",133,2022-07-09 19:21:23+00:00,Twitter for iPhone,3,84,0
"Letzte gemeinsame Einheit des Trainingslagers geschafft 🙌😄

#BMGamTegernsee #DieFohlen https://t.co/7LOnEzlAzr",267,2022-07-09 19:18:19+00:00,Twitter for iPhone,2,110,0
"Okay, ChriKra übertreibt. 😄

#BMGamTegernsee https://t.co/1jeldSVowd",257,2022-07-09 15:58:28+00:00,Twitter for iPhone,5,68,0
"Die Keeper schlagen zurück 😉

#BMGamTegernsee https://t.co/QDy3cfnlZz https://t.co/bSXWXF826Z",117,2022-07-09 15:47:57+00:00,Twitter for iPhone,5,93,0
"Torschusstraining 😍

Oscar &amp; Lasso eiskalt 🎯 https://t.co/PjNT6TobJi",144,2022-07-09 15:42:58+00:00,Twitter for iPhone,5,72,0
"Nochmal höchste Intensität. Die letzte Einheit des Trainingslagers steht an 💯

#BMGamTegernsee #DieFohlen https://t.co/iinEB9qWVg",184,2022-07-09 14:25:00+00:00,Twitter Web App,3,129,0
"ℹ️ #DieFohlen haben am Vormittag trainingsfrei und absolvieren die öffentliche Einheit heute um 16:30 Uhr. Jordan Beyer wird aufgrund einer leichten Muskelverletzung nicht mittrainieren. 

#BMGamTegernsee https://t.co/s5um48YtSb",201,2022-07-09 08:36:07+00:00,Twitter for iPhone,3,228,0
"📢 Weitersagen!

In 6️⃣0️⃣ Minuten startet der Mitglieder-Verkauf für alle Heimspiele der Saison! ⏰🤩

🎫 https://t.co/ZBc5SluSBu
ℹ https://t.co/0MYxrZZEFt https://t.co/BGxz0aUuTi",108,2022-07-09 07:00:00+00:00,Twitter Web App,3,176,0
"Einsteigen, bitte! 🚘😅

Auf zwei Borussia-Fans wartete am Tegernsee ein ganz besonderer Chauffeur, der die beiden im @etron_audi sicher ans Ziel brachte. Schaut rein!

↪️ https://t.co/dZN6R6STqv

#BMGamTegernsee https://t.co/Y9xKUe1ibr",106,2022-07-08 14:00:02+00:00,Twitter Web App,3,234,0
"Schweizer @fhambuechen? 🇨🇭😅

#BMGamTegernsee https://t.co/3BtQg5cryG",225,2022-07-08 13:35:00+00:00,Twitter Web App,3,68,0
"ℹ Bevor sich das Trainingslager am Tegernsee dem Ende neigt, findet am Samstag um 16:30 Uhr noch einmal eine öffentliche Einheit statt. 🏋️‍♂️

Wir freuen uns wieder auf euch! 💚

#BMGamTegernsee #dieFohlen https://t.co/qiBSMysKDw",146,2022-07-08 13:08:11+00:00,Twitter Web App,6,228,0
"VAR sagt: 👍

#BMGamTegernsee @stindl28 https://t.co/Uz8H2KhoQV",319,2022-07-08 12:54:53+00:00,Twitter Web App,15,62,1
"💪🔥

#BMGamTegernsee @jjscally_10 https://t.co/0zjeMR7N9q",209,2022-07-08 12:20:00+00:00,Twitter Web App,3,56,0
"Heute wieder Vollgas! ⚡

#BMGamTegernsee https://t.co/6KbPFo3vBi",184,2022-07-08 12:10:19+00:00,Twitter Web App,4,64,0
